1,Parcel,Meeting with Big e-Commerce Customers,20.07.2026,"SSPOs Gurgaon need to meet with Amazon Nodal Officer on 08.08.2026 and submit compliance to Circle Office about the meeting outcome.

Further, SSPOs Gurgaon to submit updates on articles provided by Decathlon and Quickship daily upto 10.08.2026 and see if any increment is noticed in business given by Decathlon and Quickship. 

",SSPOs Gurgaon,10.08.2026,{}
12,Marketing and Advertising,Deployment of Marketing Executives,20.07.2026,"Divisional Heads to ensure that atleast 06 Marketing Executives are deployed in field for marketing purpose in all divisions except Faridabad and Gurgaon. Both these Divisional Heads are to deploy atleast 10 Marketing Executives in the field. Further, Divisional Heads to assign MEs such that one ME is specifically assigned to each vertical. In Gurgaon and Faridabad division, two MEs for Parcel, IR/GB, Mail and CCS each, rest 2 for SB and PLI/RPLI each are to assigned.

Division Wise ME Details",All Divisional Heads,10.08.2026,"{""action"":[{""url"":""https://docs.google.com/spreadsheets/d/1deQ_I_wwIGVIps4jlWXB94lSm8qesiXcKUaEpAkehcs/edit?gid=901878329#gid=901878329"",""text"":""Division Wise ME Details""}]}"
13,Establishment,Rationalisation of BOs,22.07.2026,"Divisional Heads to ensure that all triple handed BOs are to be rationalised and proposal for the same be submitted to Circle Office, Ambala by 05.08.2026.
Further, divisional heads to make a plan on redeploying the posts of such offices for either delivery or aadhaar work.

Update on 10.08.2026:
AD(Estt) informed that proposals were received from all the divisions but observations were made during review of such proposals. All such proposals have been sent back for correction. Further, proposals received from Rohtak Division were found correct. Further instructions are being forwarded to Rohtak Division regarding the proposals received.",All Divisional Heads,10.08.2026,"{""action"":[{""url"":""https://docs.google.com/spreadsheets/d/1deQ_I_wwIGVIps4jlWXB94lSm8qesiXcKUaEpAkehcs/edit?gid=901878329#gid=901878329"",""text"":""Divisional Heads to ensure that all triple handed BOs are to be rationalised and proposal for the same be submitted to Circle Office, Ambala by 05.08.2026.\nFurther, divisional heads to make a plan on redeploying the posts of such offices for either delivery or aadhaar work.\n\nUpdate on 10.08.2026:\nAD(Estt) informed that proposals were received from all the divisions but observations were made during review of such proposals. All such proposals have been sent back for correction. Further, proposals received from Rohtak Division were found correct. Further instructions are being forwarded to Rohtak Division regarding the proposals received.""}]}"
14,Establishment,Franchisee,27.07.2026,"The revised target for franchisee has been allotted to divisions by the Establishment Section, Circle Office Ambala. All Divisional Heads are to ensure that the target is achieved accordingly.

Division-wise Target for Frachisee Scheme",All Divisional Heads,"application received upto 24.08.2026, on-boarded upto 31.08.2026","{""action"":[{""url"":""https://docs.google.com/spreadsheets/d/1deQ_I_wwIGVIps4jlWXB94lSm8qesiXcKUaEpAkehcs/edit?gid=95881032#gid=95881032"",""text"":""Division-wise Target for Frachisee Scheme""}]}"
15,IR/VR,BO visit plan,27.07.2026,"Monthly BO Visit targets have been allotted by Directorate as given below: 

Sr. No.        Name of authority        No. of BO visits Monthly
1                        CPMG                                        14
2                       DPS (HQ)                                    5
3                       Divisional Head                         5

All the Divisional Heads to share the visit plan for BOs on monthly basis with the Circle Office, Ambala.

Update on 03.08.2026:

BO visit plan has been shared by All the divisional heads.",All Divisional Heads,10.08.2026,"{""action"":[{""url"":""https://docs.google.com/spreadsheets/d/1deQ_I_wwIGVIps4jlWXB94lSm8qesiXcKUaEpAkehcs/edit?gid=95881032#gid=95881032"",""text"":""Monthly BO Visit targets have been allotted by Directorate as given below: \n\nSr. No.        Name of authority        No. of BO visits Monthly\n1                        CPMG                                        14\n2                       DPS (HQ)                                    5\n3                       Divisional Head                         5\n\nAll the Divisional Heads to share the visit plan for BOs on monthly basis with the Circle Office, Ambala.\n\nUpdate on 03.08.2026:\n\nBO visit plan has been shared by All the divisional heads.""}]}"
16,Customer Services,Complaints on CMS and CPGRAMS,27.07.2026,"Divisional Heads to ensure resolution of 98% of the grievances within 3 days of receipt for the month of August.

CMS Complaints in July 2026",All Divisional Heads,10.08.2026,"{""action"":[{""url"":""https://docs.google.com/spreadsheets/d/1deQ_I_wwIGVIps4jlWXB94lSm8qesiXcKUaEpAkehcs/edit?gid=986503541#gid=986503541"",""text"":""CMS Complaints in July 2026""}]}"
17,Financial Services,Target for HO/SO,27.07.2026,"AD (FS) to put up reviews of SOs in connection to letter issued for improving the ECR of the concerned post offices. 



Letter sent to Divisions on 31.07.2026",AD (FS),31.08.2026,"{""action"":[{""url"":""https://drive.google.com/file/d/1SBIeiWJrpdJjz4sDZI9BuSOpZpVPjvpf/view?usp=sharing"",""text"":""Letter sent to Divisions on 31.07.2026""}]}"
18,Social Media,Roadmap to increase Social Media Outreach,03.08.2026,"Divisional Heads to reach out the famous social media influencers based out of their concerned divisions, discuss on how to make creative content for social media handles of the Circle and how to increase reach to the public through Social Media. 
Further, it was directed that there should be an exclusive person looking after the Social Media activities in divisions.",All Divisional Heads,10.08.2026,"{""action"":[{""url"":""https://drive.google.com/file/d/1SBIeiWJrpdJjz4sDZI9BuSOpZpVPjvpf/view?usp=sharing"",""text"":""Divisional Heads to reach out the famous social media influencers based out of their concerned divisions, discuss on how to make creative content for social media handles of the Circle and how to increase reach to the public through Social Media. \nFurther, it was directed that there should be an exclusive person looking after the Social Media activities in divisions.""}]}"
19,CCS,Digital Transactions for Aadhaar Servics,05.08.2026,"Divisional Heads to ensure to implement online payment for Aadhaar services in all Post Office Aadhaar Centres through APT Booking Solution. Counter staff should be made aware about the functionality and its usage. 

Aadhar Transaction through APT",All Divisional Heads,10.08.2026,"{""action"":[{""url"":""https://docs.google.com/spreadsheets/d/1deQ_I_wwIGVIps4jlWXB94lSm8qesiXcKUaEpAkehcs/edit?gid=2092587402#gid=2092587402"",""text"":""Aadhar Transaction through APT""}]}"
20,CCS,PMEGP Verification,06.08.2026,"Divisional Heads to ensure that verification of the pending KVIC units is done on priority basis. 

Verification of KVIC units",All Divisional Heads,10.08.2026,"{""action"":[{""url"":""https://docs.google.com/spreadsheets/d/1deQ_I_wwIGVIps4jlWXB94lSm8qesiXcKUaEpAkehcs/edit?gid=812930514#gid=812930514"",""text"":""Verification of KVIC units""}]}"
21,Financial Services,Setting up of May I Help You counter,06.08.2026,"May I Help You counter is to be set up in 38 Offices identified for digital transactions in SB services.  

List of 38 Offices",All Divisional Heads,10.08.2026,"{""action"":[{""url"":""https://docs.google.com/spreadsheets/d/1deQ_I_wwIGVIps4jlWXB94lSm8qesiXcKUaEpAkehcs/edit?gid=294521469#gid=294521469"",""text"":""List of 38 Offices""}]}"
